id,date,theater,company,title,genre,author,composer,notes
450,1781-08-14,Kth,French,L'Amoreux de quinze ans,Comédie mêlée d'ariettes,Laujon,Martini,NA
451,1781-08-15,Bth,Court,Der Dichterling,Lustspiel,Eberl,NA,NA
452,1781-08-15,Bth,Court,Die eingebildeten Philosophen,Singspiel,Bertati,Paisiello,NA
453,1781-08-15,Kth,French,Zémire et Azor,Opéra comique,Marmontel,Grétry,NA
454,1781-08-16,Bth,Court,Die dürftige Familie,Schauspiel,Mercier,NA,Final perfomance
455,1781-08-16,Bth,Court,Der verlogene Bediente,Lustspiel,Garrick,NA,NA
456,1781-08-16,Kth,French,La Rosière de Salency,Opéra comique,Favart,Philidor,NA
457,1781-08-17,NA,NA,Theaters closed,NA,NA,NA,NA
458,1781-08-18,NA,NA,Theaters closed (anniversary of death of Francis Stephen),NA,NA,NA,NA
459,1781-08-19,Bth,Court,Zémire et Azor,Opéra comique,Marmontel,Grétry,In German as singspiel
460,1781-08-19,Kth,French,Les Battus paient l'amende,Comédie,unknown,unknown,NA
461,1781-08-19,Kth,French,Rose et Colas,Opéra comique,Sedaine,Monsigny,NA
462,1781-08-19,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,NA
463,1781-08-20,Bth,Court,Der argwöhnische Ehemann,Lustspiel,Gotter,NA,NA
464,1781-08-21,Bth,Court,Romeo und Julie,Trauerspiel,Shakespeare,NA,NA
465,1781-08-21,Kth,French,La Bonne Fille,Opéra comique,unknown,unknown,NA
466,1781-08-21,Kth,French,Les Battus paient l'amende,Comédie,unknown,unknown,NA
467,1781-08-22,Bth,Court,Der Rauchfangkehrer,Singspiel,Auenbrugger,Salieri,NA
468,1781-08-23,Bth,Court,Der Barbier von Sevilien,Lustspiel,Beaumarchais,NA,NA
469,1781-08-23,Kth,French,Le Mari retrouvé,Comédie,Dancourt,NA,NA
470,1781-08-23,Kth,French,Silvain,Opéra comique,Marmontel,Grétry,NA
471,1781-08-24,NA,NA,Theaters closed,NA,NA,NA,NA
472,1781-08-25,Bth,Court,Der Dienstfertige,Lustspiel,La Salle,NA,NA
473,1781-08-25,Bth,Court,Die Eroberung von Saint-Lucie,Lustspiel,Müller von Friedberg,NA,Performed only three times.
474,1781-08-25,Kth,French,Les Pèlerins de la Mecque,Singspiel,Dancourt,Gluck,NA
475,1781-08-26,Bth,Court,Die Wildschützen,Lustspiel,Stephanie d. J.,unknown,NA
476,1781-08-26,Kth,French,Les Pèlerins de la Mecque,Singspiel,Dancourt,Gluck,NA
477,1781-08-27,Bth,Court,Die Pilgrime von Mekka,Singspiel,Dancourt,Gluck,NA
478,1781-08-28,Bth,Court,Der Schubkarren des Essighändlers,Lustspiel,Mercier,NA,NA
