id,date_id,theater,company,title,genre,author,composer,notes
125,3/4/1781,Bth,NA,"Concert, Valentin Adamberger",NA,NA,NA,"""Musikalische Akademie. / Zum Vortheil Hr. Adambergers Mitglied d. K. K. / N. H. Schaubühne."""
126,3/6/1781,Bth,NA,"Concert, Mathias Thurner",NA,NA,NA,"""Dergleichen z. V. Hr. Thurners, M. d. Orchest. b. Nationaltheater.""Mathias Thurner was a flutist in the orchestra of the court orchestra in Vienna; see Steblin, JAMIS 2008."
127,3/8/1781,Bth,NA,"Concert, French company",NA,NA,NA,"""Dergleichen z. V. der Unternehmer des Franz. Schauspiels."""
128,3/11/1781,Kth,NA,"Concert, Tonkünstler-Societät",NA,NA,NA,"""Dergleichen z. V. der Tonkünstler Gesellschaft allhier. Alcid am Scheidwege.""Hasse's Alcide al bivio"
129,3/12/1781,Bth,NA,"Concert, Ludwig Fischer",NA,NA,NA,NA
130,3/13/1781,Kth,NA,"Concert, Tonkünstler-Societät",NA,NA,NA,"""Wie am Sonntag den 11. d. M.""Hasse's Alcide al bivio"
131,3/15/1781,Bth,NA,"Concert, Józef Boruwłaski (dwarf)",NA,NA,NA,"""Dergleichen / z. V. Hr. Boruwlaski in Königl. Pohlnischen / Diensten.""See Boruwłaski's description of his visit to Vienna in 1781 and his concert in his autobiography, 159ffMorrow (249) notes that the concert is in Zinzendorf, who mentions a guitar player and Adamberger"
132,3/18/1781,Bth,NA,"Concert, Vincenzo Righini",NA,NA,NA,"""Dergleichen / z. V. Hr. Righini, gen. Apolls Geburtstag.""= Il natale di Apollo"
133,3/19/1781,Bth,NA,"Concert, Friedrich Ramm",NA,NA,NA,"""Dergleichen / z. V. Hr. Ramms in Churbayer. Diensten."""
134,3/20/1781,Kth,NA,"Concert, Elisabeth Mara",NA,NA,NA,"""Dergleichen / z. V. der Madame Mara.""In Schletter, the date appears as ""Dienstag / d. a2. [sic]""MBA, iii:101, Wolfgang to Leopold, 24 Mar:""die Mara ist hier; – sie hat vergangen dienstag eine accademie im Theater gegeben. – ihr Mann hat sich nicht dürfen sehen lassen, sonst hätte das orchstre nicht accompagnirt, weil er in die Zeitungen gedruckt hat, i ganz Wien seye kein Mensch im stande ihm zu accompagniren."""
135,3/25/1781,Bth,NA,"Concert, Vincenzo Righini",NA,NA,NA,Reprise of Il natale di Apollo
136,3/26/1781,Bth,NA,"Concert, Peter Winter and Franz Tausch",NA,NA,NA,"""Dergleichen / z. V. Hr. Winter und Tausch, in Churbayer. / Diensten.""Cf. 2 Feb"
137,3/27/1781,Bth,NA,"Concert, Madame Olivieri",NA,NA,NA,"""Dergleichen / z. V. der Madame Olivieri.""Madame Olivieri not yet identified"
138,3/29/1781,Bth,NA,"Concert, Madame Varenne",NA,NA,NA,"""Dergleichen / z. V. der Madam Varennes.""In ZinzendorfMadame Varenne played in concerts at the French ambassador's on 24 Mar, 28 Mar, 7 Apr, and 5 May 1781 (on 7 Apr with ""Herr Varene"", violin), and on 4 Apr at Prince Paar."
139,4/1/1781,Kth,NA,"Concert, Tonkünstler-Societät",NA,NA,NA,Albrechtsberger's Die Pilgrime auf Golgatha was performed.
140,4/3/1781,Kth,NA,"Concert, Tonkünstler-Societät",NA,NA,NA,Albrechtsberger's Die Pilgrime auf Golgatha was performed.A Mozart symphony was performed and he played the piano.
141,4/5/1781,Kth,NA,"Concert, Elisabeth Mara",NA,NA,NA,NA
142,4/16/1781,Bth,Court,Agnes Bernauerinn,Trauerspiel,Toerring,NA,"Zinendorf attended this premiere, calling it a ""mauvaise tragedie"", noting, however, ""Schroeder qui fit le rôle du Duc Albert de Bavière, joua comme un ange."""
618,4/17/1781,Bth,Court,Die Pilgrime von Mekka,Singspiel,Dancourt,Gluck,NA
NA,NA,NA,NA,NA,NA,Faber,NA,NA
619,4/17/1781,Kth,French,Eugenie,Trauerspiel,Beaumarchais,NA,NA
NA,NA,NA,NA,NA,NA,unknown,NA,NA
620,4/17/1781,Kth,French,L'Epoux par supercherie,Comédie,Boissy,NA,NA
621,4/18/1781,Bth,Court,Agnes Bernauerinn,Trauerspiel,Toerring,NA,"This performance was attended by the Emperor, Archduchesses Maria Anna, Maria, and Maria Elisabeth, and Duke Albert von Sachsen-Teschen (WZ, Sat, 21 Apr 1781, no. 32, [6]"
143,4/19/1781,Bth,Court,Die verfolgte Unbekannte,Singspiel,Petrosellini,Anfossi,"Zinzendorf attended this performance, writing ""Belle musique."""
NA,NA,NA,NA,NA,NA,Stephanie d. J.,NA,NA
144,4/19/1781,Kth,French,L'Homme du jour,Comédie,Boissy,NA,NA
145,4/19/1781,Kth,French,Les Legs,Comédie,Marivaux,NA,NA
146,4/20/1781,Bth,unknown,Wissenschaft geht vor Schönheit,Lustspiel,Goldoni,NA,"This performance in the Burgtheater is not in Hadamowsky or Von Alth/Obzyna. Because it took place on a Friday, it may have been a benefit. Hadamowsky has the Burgtheater as ""geschlossen"" on this day.""Wissenschaft. geht vor / Schonheit [sic]. / L. in 3. A. n. G. v. B."""
NA,NA,NA,NA,NA,NA,Bock,NA,NA
147,4/21/1781,Bth,Court,Die Gefahren der Verführung,Schauspiel,Mercier,NA,Performed only four times before being dropped.
NA,NA,NA,NA,NA,NA,Schröder,NA,NA
148,4/21/1781,Bth,Court,"Adelaide, oder die Antipathie gegen die Liebe",Lustspiel,Du Doyer de Gastels,NA,Performed only three times
NA,NA,NA,NA,NA,NA,Schröder,NA,NA
149,4/22/1781,Bth,Court,Die Gefahren der Verführung,Schauspiel,Mercier,NA,"Zinzendorf attended this performance, writing: ""Je trouvois Schroeter excellent en vieillard, jeu noble, [debit] agréable."""
NA,NA,NA,NA,NA,NA,Schröder,NA,NA
150,4/22/1781,Kth,French,Les Deux Chasseurs et la Laitière,Comédie mêlée d'ariettes,Anseaume,Duni,"""L'Offcier & le grand Baillif. C. 5. / la Laitiere. C. 1. a.""Identification of ""La Laitiere"" as the work by Anseaume and Duni is provisional."
151,4/22/1781,Kth,French,L'Officier et le grand Baillif,Comédie,unknown,NA,NA
152,4/23/1781,Bth,Court,Die große Batterie,Lustspiel,Ayrenhoff,NA,NA
153,4/23/1781,Bth,Court,Andromeda und Perseus,Schauspiel,Kempelen,Zimmermann,Performed only four times before being dropped.
154,4/24/1781,Bth,Court,Die gegenseitige Probe,Lustspiel,Legrand,NA,NA
NA,NA,NA,NA,NA,NA,Meißner,NA,NA
155,4/24/1781,Bth,Court,Der Hausfreund,Singspiel,Marmontel,Grétry,NA
NA,NA,NA,NA,NA,NA,Stephanie d. J.,NA,NA
156,4/24/1781,Kth,French,Les Trois Jumeaux vénetiens,Comédie,Colalto Mattiuzzi,NA,"""Les 3. jumeaux venetiens. C. 3. 2."""
NA,NA,NA,NA,NA,NA,Marcouville,NA,NA
157,4/24/1781,Kth,French,"L'Amant, Auteur et Valet",Comédie,Cérou,NA,NA
158,4/25/1781,Bth,Court,Emilia Galotti,Trauerspiel,Lessing,NA,NA
159,4/25/1781,Kth,French,Les Folies amoureuses,Comédie,Regnard,NA,NA
160,4/25/1781,Kth,French,"L'Homme noir, ou le Spleen",Comédie,Gernevalde,NA,Identification of work mildly uncertain
161,4/26/1781,Bth,Court,"Jenny, oder die Uneigennützigkeit",Drame,Marsollier,NA,NA
163,4/26/1781,Bth,Court,"Adrast und Isidore, oder die Nachtmusik",Singspiel,Bretzner,Miča,Performed only twice
NA,NA,NA,NA,NA,NA,Molière,NA,NA
162,4/27/1781,Bth,unknown,Die verstorbene Ehefrau,Lustspiel,Bretzner,NA,Not in Hadamowsky or Von Alth/Obzyna. Possibly a benefit.
164,4/27/1781,Kth,NA,"Concert, Johann Lausch",NA,NA,NA,"""Musikalische Akademie / z. V. Hr. Johann Lausch."""
165,4/28/1781,Kth,Court,Die Schwäger,Trauerspiel,Eckardt,NA,Performed only three times
166,4/28/1781,Bth,Court,"Adelaide, oder die Antipathie gegen die Liebe",Lustspiel,Du Doyer de Gastels,NA,NA
NA,NA,NA,NA,NA,NA,Schröder,NA,NA
167,4/28/1781,Kth,French,Le Tableau parlant,Opéra comique,Anseaume,Grétry,NA
168,4/28/1781,Kth,French,Les Précieuses ridicules,Comédie,Molière,Monsigny,NA
169,4/28/1781,Kth,French,Pygmalion,Melodrama,Rousseau,Coignet,NA
170,4/29/1781,Bth,Court,Die Schwäger,Trauerspiel,Eckardt,NA,NA
171,4/29/1781,Bth,Court,Der dankbare Sohn,Lustspiel,Engel,NA,NA
172,4/29/1781,Kth,French,Monsieur de St. Charles,Comédie,Gernevalde,NA,"Zinzendorf attended these performances: ""Le soir au Theatre de la porte de Carinthie. L'Homme comme il y en a peu. Dalainval, Calet et le jolie M:elle Laurens jouerent fort bien. La Servante maitresse bien jouée et mal chantée."""
173,4/29/1781,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,"On Zinzendorf's reaction, see the preceding entry."
174,4/30/1781,Bth,Court,Der Rauchfangkehrer,Singspiel,Auenbrugger,Salieri,NA
175,5/1/1781,Bth,Court,Der sehende Blinde,Lustspiel,Legrand,NA,NA
NA,NA,NA,NA,NA,NA,Seyfried,NA,NA
176,5/1/1781,Bth,Court,Andromeda und Perseus,Schauspiel,Kempelen,Zimmermann,NA
177,5/1/1781,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,NA
178,5/1/1781,Kth,French,Monsieur de St. Charles,Comédie,Gernevalde,NA,NA
179,5/2/1781,Bth,Court,Der flatterhafte Ehemann,Lustspiel,Cibber,NA,"Zinzendorf attended this performance: ""Le soir au Spectacle der flatterhaffte Liebhaber [sic]. Schroeter y joua a merveille en pauvre rôle [...]"""
NA,NA,NA,NA,NA,NA,Bock,NA,NA
180,5/2/1781,Kth,NA,"Concert, Brigida Banti",NA,NA,NA,NA
181,5/3/1781,Bth,Court,Die abgenöthige Einwilligung,Lustspiel,Guyot de Merville,NA,NA
NA,NA,NA,NA,NA,NA,Gebler,NA,NA
182,5/3/1781,Bth,Court,Der eifersüchtige Liebhaber,Singspiel,Hales,Grétry,NA
NA,NA,NA,NA,NA,NA,Stephanie d. J.,NA,NA
183,5/3/1781,Kth,French,L'École des femmes,Comédie,Molière,NA,NA
184,5/3/1781,Kth,French,Les Deux Chasseurs et la Laitière,Comédie mêlée d'ariettes,Anseaume,Duni,NA
185,5/4/1781,Bth,unknown,Die verstorbene Ehefrau,Lustspiel,Bretzner,NA,"Not in Hadamowsky or Von Alth/Obzyna. Benefit? Hadamowsky has the Burgtheater as ""geschollsen"" on this day."
186,5/5/1781,Bth,Court,Die Schwäger,Trauerspiel,Eckardt,NA,"""Autors Einnahme"". Final performance."
187,5/5/1781,Bth,Court,Wer wird sie kriegen,Lustspiel,Eckardt,NA,Premiere on the same day as the last of three performances of Eckardt's Die Schwäger. Performed only three times.
188,5/5/1781,Kth,French,Rose et Colas,Opéra comique,Sedaine,Monsigny,NA
189,5/5/1781,Kth,French,Democrite amoureux,Comédie,Regnard,NA,NA
190,5/6/1781,Bth,Court,Der Neugierige,Lustspiel,Stephanie d. J.,NA,NA
191,5/6/1781,Kth,French,Elle a raison,Comédie,unknown,NA,NA
192,5/6/1781,Kth,French,Monsieur de St. Charles,Comédie,Gernevalde,NA,NA
